sample_size,req_index,rtt_ms,iptd_ms
80,10,283.3944519998113,141.69722599990564
80,11,305.6883799999923,152.84418999999616
80,12,264.89040599972213,132.44520299986107
80,13,292.54852600024606,146.27426300012303
80,14,255.66636300027312,127.83318150013656
80,15,308.10547200053406,154.05273600026703
80,16,291.04073499911465,145.52036749955732
80,17,304.31237899938424,152.15618949969212
80,18,286.80784799962566,143.40392399981283
80,19,315.87268200019025,157.93634100009513
80,20,287.8078959993218,143.9039479996609
80,21,412.5874230003319,206.29371150016595
80,22,369.15083499934553,184.57541749967277
80,23,276.9250840001405,138.46254200007024
80,24,334.7524729997531,167.37623649987654
80,25,278.8712179999493,139.43560899997465
80,26,310.381017000509,155.1905085002545
80,27,299.3768940004884,149.6884470002442
80,28,342.06094299952383,171.03047149976192
80,29,338.5180189998209,169.25900949991046
80,30,293.1455170000845,146.57275850004226
80,31,306.89168000026257,153.44584000013128
80,32,307.3299510006109,153.66497550030545
80,33,286.06694500012964,143.03347250006482
80,34,302.6709200003097,151.33546000015485
80,35,298.15903899998375,149.07951949999187
80,36,263.0730350001613,131.53651750008066
80,37,342.0575790005387,171.02878950026934
80,38,304.3028689999119,152.15143449995594
80,39,345.368500999939,172.6842504999695
80,40,400.4024939995361,200.20124699976805
80,41,490.0056569995286,245.0028284997643
80,42,306.7757749995508,153.3878874997754
80,43,366.29448199983017,183.14724099991508
80,44,307.71291500059306,153.85645750029653
80,45,291.56093199981115,145.78046599990557
80,46,307.8473559999111,153.92367799995554
80,47,313.5672460002752,156.7836230001376
80,48,310.999780000202,155.499890000101
80,49,285.1489459999357,142.57447299996784
80,50,328.71191399954114,164.35595699977057
80,51,346.9826379996448,173.4913189998224
80,52,301.75245800000994,150.87622900000497
80,53,318.2029320005313,159.10146600026565
80,54,355.35595500005,177.677977500025
80,55,308.9666509995368,154.4833254997684
80,56,308.32691399973555,154.16345699986778
80,57,329.1389739997612,164.5694869998806
80,58,299.9445149998792,149.9722574999396
80,59,290.86680699947465,145.43340349973732
80,60,415.77338599927316,207.88669299963658
80,61,399.833051999849,199.9165259999245
80,62,375.1269910007977,187.56349550039886
80,63,304.73272100061877,152.36636050030938
80,64,300.95033300040086,150.47516650020043
80,65,286.33821600033116,143.16910800016558
80,66,291.8585319994236,145.9292659997118
80,67,298.91910100013774,149.45955050006887
80,68,290.6593520001479,145.32967600007396
80,69,298.006826999881,149.0034134999405
80,70,289.0342849996159,144.51714249980796
80,71,275.3481070003545,137.67405350017725
80,72,298.52793000009115,149.26396500004557
80,73,356.1915870004668,178.0957935002334
80,74,291.26924899992446,145.63462449996223
80,75,297.854579000159,148.9272895000795
80,76,286.63529200002813,143.31764600001407
80,77,276.29359399998066,138.14679699999033
80,78,266.33652099917526,133.16826049958763
80,79,292.140126999584,146.070063499792
80,80,417.10560000046826,208.55280000023413
90,1,386.2344330000269,193.11721650001346
90,2,325.78923600067355,162.89461800033678
90,3,339.5043380005518,169.7521690002759
90,4,260.9766399991713,130.48831999958566
90,5,346.36021999995137,173.18010999997568
